127.0.0.1, 2016-04-18 18:10:30, GET, /, HTTP/1.1, 303, 7.197000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.855000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:10:54, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-04-18 18:10:54, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:11:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-04-18 18:11:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:11:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-04-18 18:11:15, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:11:25, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/default/index, HTTP/1.1, 200, 0.142000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/js/web2py.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-04-18 18:12:23, GET, /admin/static/_2.14.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-18 18:12:26, POST, /admin/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-04-18 18:12:30, POST, /admin/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-04-18 18:12:52, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-04-18 18:12:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
